anio,iditem,monto_estandar,cantidad_estandar,unidad_estandar
2021,157,92,700,KILOGRAMOS
2021,157,109,1,KILOGRAMOS
2021,157,118,10,KILOGRAMOS
2021,157,204,20,KILOGRAMOS
2021,157,216,2,KILOGRAMOS
2021,157,232,5,KILOGRAMOS
2021,157,93,500,KILOGRAMOS
2021,157,158,25,KILOGRAMOS
2021,157,126,6,KILOGRAMOS
2021,157,217,1,KILOGRAMOS
2021,157,177,100,KILOGRAMOS
2021,157,200,2,KILOGRAMOS
2021,157,200,2,KILOGRAMOS
2021,157,125,3,KILOGRAMOS
2021,157,100,15,KILOGRAMOS
2021,157,91,350,KILOGRAMOS
2021,157,86,1500,KILOGRAMOS
2021,157,93,650,KILOGRAMOS
2021,157,116,5,KILOGRAMOS
2021,157,150,2,KILOGRAMOS
2021,157,148,140,KILOGRAMOS
2021,157,90,150,KILOGRAMOS
2021,157,107,30,KILOGRAMOS
2021,157,190,100,KILOGRAMOS
2021,157,115,10,KILOGRAMOS
2021,157,174,20,KILOGRAMOS
2021,157,111,60,KILOGRAMOS
2021,157,179,1,KILOGRAMOS
2021,157,120,12,KILOGRAMOS
2021,157,88,50,KILOGRAMOS
2021,157,110,60,KILOGRAMOS
2021,157,135,10,KILOGRAMOS
2021,157,136,1,KILOGRAMOS
2021,157,122,10,KILOGRAMOS
2021,157,104,10,KILOGRAMOS
2021,157,153,8,KILOGRAMOS
2021,157,85,920,KILOGRAMOS
2021,157,87,500,KILOGRAMOS
2021,157,133,2,KILOGRAMOS
2021,157,96,10,KILOGRAMOS
2021,157,220,20,KILOGRAMOS
2021,157,112,10,KILOGRAMOS
2021,157,119,160,KILOGRAMOS
2021,157,181,200,KILOGRAMOS
2021,157,133,120,KILOGRAMOS
2021,157,90,350,KILOGRAMOS
2021,157,88,50,KILOGRAMOS
2021,157,114,5,KILOGRAMOS
2021,157,104,50,KILOGRAMOS
2021,157,218,6,KILOGRAMOS
2021,157,227,2,KILOGRAMOS
2021,157,199,0.5,KILOGRAMOS
2021,157,85,420,KILOGRAMOS
2021,157,114,12,KILOGRAMOS
2021,157,106,3,KILOGRAMOS
2021,157,135,20,KILOGRAMOS
2021,157,101,30,KILOGRAMOS
2021,157,109,4,KILOGRAMOS
2021,157,226,2,KILOGRAMOS
2021,157,114,5,KILOGRAMOS
2021,157,203,200,KILOGRAMOS
2021,157,113,40,KILOGRAMOS
2021,157,185,100,KILOGRAMOS
2021,157,164,8,KILOGRAMOS
2021,157,134,10,KILOGRAMOS
2021,157,113,4,KILOGRAMOS
2021,157,219,20,KILOGRAMOS
2021,157,192,10,KILOGRAMOS
2021,157,176,16,KILOGRAMOS
2021,157,95,20,KILOGRAMOS
2021,157,101,50,KILOGRAMOS
2021,157,85,450,KILOGRAMOS
2021,157,85,40,KILOGRAMOS
2021,157,84,80,KILOGRAMOS
2021,157,109,10,KILOGRAMOS
2021,157,113,12,KILOGRAMOS
2021,157,100,15,KILOGRAMOS
2021,157,226,2,KILOGRAMOS
2021,157,95,10,KILOGRAMOS
2021,157,108,20,KILOGRAMOS
2021,157,112,3,KILOGRAMOS
2021,157,220,4,KILOGRAMOS
2021,157,193,2,KILOGRAMOS
2021,157,88,200,KILOGRAMOS
2021,157,92,150,KILOGRAMOS
2021,157,160,3,KILOGRAMOS
2021,157,94,20,KILOGRAMOS
2021,157,90,144,KILOGRAMOS
2021,157,251,15,KILOGRAMOS
2021,157,120,8,KILOGRAMOS
2021,157,273,4,KILOGRAMOS
2021,157,84,160,KILOGRAMOS
2021,157,215,20,KILOGRAMOS
2021,157,256,5,KILOGRAMOS
2021,157,108,40,KILOGRAMOS
